idate,icy,icm,iwy,iwm,cfs_taf,dateserial
10/31/1921 23:59,1921,10,1922,1,0.061487603,192110
11/30/1921 23:59,1921,11,1922,2,0.059504132,192111
12/31/1921 23:59,1921,12,1922,3,0.061487603,192112
1/31/1922 23:59,1922,1,1922,4,0.061487603,192201
2/28/1922 23:59,1922,2,1922,5,0.05553719,192202
3/31/1922 23:59,1922,3,1922,6,0.061487603,192203
4/30/1922 23:59,1922,4,1922,7,0.059504132,192204
5/31/1922 23:59,1922,5,1922,8,0.061487603,192205
6/30/1922 23:59,1922,6,1922,9,0.059504132,192206
7/31/1922 23:59,1922,7,1922,10,0.061487603,192207
8/31/1922 23:59,1922,8,1922,11,0.061487603,192208
9/30/1922 23:59,1922,9,1922,12,0.059504132,192209
10/31/1922 23:59,1922,10,1923,1,0.061487603,192210
11/30/1922 23:59,1922,11,1923,2,0.059504132,192211
12/31/1922 23:59,1922,12,1923,3,0.061487603,192212
1/31/1923 23:59,1923,1,1923,4,0.061487603,192301
2/28/1923 23:59,1923,2,1923,5,0.05553719,192302
3/31/1923 23:59,1923,3,1923,6,0.061487603,192303
4/30/1923 23:59,1923,4,1923,7,0.059504132,192304
5/31/1923 23:59,1923,5,1923,8,0.061487603,192305
6/30/1923 23:59,1923,6,1923,9,0.059504132,192306
7/31/1923 23:59,1923,7,1923,10,0.061487603,192307
8/31/1923 23:59,1923,8,1923,11,0.061487603,192308
9/30/1923 23:59,1923,9,1923,12,0.059504132,192309
10/31/1923 23:59,1923,10,1924,1,0.061487603,192310
11/30/1923 23:59,1923,11,1924,2,0.059504132,192311
12/31/1923 23:59,1923,12,1924,3,0.061487603,192312
1/31/1924 23:59,1924,1,1924,4,0.061487603,192401
2/29/1924 23:59,1924,2,1924,5,0.057520661,192402
3/31/1924 23:59,1924,3,1924,6,0.061487603,192403
4/30/1924 23:59,1924,4,1924,7,0.059504132,192404
5/31/1924 23:59,1924,5,1924,8,0.061487603,192405
6/30/1924 23:59,1924,6,1924,9,0.059504132,192406
7/31/1924 23:59,1924,7,1924,10,0.061487603,192407
8/31/1924 23:59,1924,8,1924,11,0.061487603,192408
9/30/1924 23:59,1924,9,1924,12,0.059504132,192409
10/31/1924 23:59,1924,10,1925,1,0.061487603,192410
11/30/1924 23:59,1924,11,1925,2,0.059504132,192411
12/31/1924 23:59,1924,12,1925,3,0.061487603,192412
1/31/1925 23:59,1925,1,1925,4,0.061487603,192501
2/28/1925 23:59,1925,2,1925,5,0.05553719,192502
3/31/1925 23:59,1925,3,1925,6,0.061487603,192503
4/30/1925 23:59,1925,4,1925,7,0.059504132,192504
5/31/1925 23:59,1925,5,1925,8,0.061487603,192505
6/30/1925 23:59,1925,6,1925,9,0.059504132,192506
7/31/1925 23:59,1925,7,1925,10,0.061487603,192507
8/31/1925 23:59,1925,8,1925,11,0.061487603,192508
9/30/1925 23:59,1925,9,1925,12,0.059504132,192509
10/31/1925 23:59,1925,10,1926,1,0.061487603,192510
11/30/1925 23:59,1925,11,1926,2,0.059504132,192511
12/31/1925 23:59,1925,12,1926,3,0.061487603,192512
1/31/1926 23:59,1926,1,1926,4,0.061487603,192601
2/28/1926 23:59,1926,2,1926,5,0.05553719,192602
3/31/1926 23:59,1926,3,1926,6,0.061487603,192603
4/30/1926 23:59,1926,4,1926,7,0.059504132,192604
5/31/1926 23:59,1926,5,1926,8,0.061487603,192605
6/30/1926 23:59,1926,6,1926,9,0.059504132,192606
7/31/1926 23:59,1926,7,1926,10,0.061487603,192607
8/31/1926 23:59,1926,8,1926,11,0.061487603,192608
9/30/1926 23:59,1926,9,1926,12,0.059504132,192609
10/31/1926 23:59,1926,10,1927,1,0.061487603,192610
11/30/1926 23:59,1926,11,1927,2,0.059504132,192611
12/31/1926 23:59,1926,12,1927,3,0.061487603,192612
1/31/1927 23:59,1927,1,1927,4,0.061487603,192701
2/28/1927 23:59,1927,2,1927,5,0.05553719,192702
3/31/1927 23:59,1927,3,1927,6,0.061487603,192703
4/30/1927 23:59,1927,4,1927,7,0.059504132,192704
5/31/1927 23:59,1927,5,1927,8,0.061487603,192705
6/30/1927 23:59,1927,6,1927,9,0.059504132,192706
7/31/1927 23:59,1927,7,1927,10,0.061487603,192707
8/31/1927 23:59,1927,8,1927,11,0.061487603,192708
9/30/1927 23:59,1927,9,1927,12,0.059504132,192709
10/31/1927 23:59,1927,10,1928,1,0.061487603,192710
11/30/1927 23:59,1927,11,1928,2,0.059504132,192711
12/31/1927 23:59,1927,12,1928,3,0.061487603,192712
1/31/1928 23:59,1928,1,1928,4,0.061487603,192801
2/29/1928 23:59,1928,2,1928,5,0.057520661,192802
3/31/1928 23:59,1928,3,1928,6,0.061487603,192803
4/30/1928 23:59,1928,4,1928,7,0.059504132,192804
5/31/1928 23:59,1928,5,1928,8,0.061487603,192805
6/30/1928 23:59,1928,6,1928,9,0.059504132,192806
7/31/1928 23:59,1928,7,1928,10,0.061487603,192807
8/31/1928 23:59,1928,8,1928,11,0.061487603,192808
9/30/1928 23:59,1928,9,1928,12,0.059504132,192809
10/31/1928 23:59,1928,10,1929,1,0.061487603,192810
11/30/1928 23:59,1928,11,1929,2,0.059504132,192811
12/31/1928 23:59,1928,12,1929,3,0.061487603,192812
1/31/1929 23:59,1929,1,1929,4,0.061487603,192901
2/28/1929 23:59,1929,2,1929,5,0.05553719,192902
3/31/1929 23:59,1929,3,1929,6,0.061487603,192903
4/30/1929 23:59,1929,4,1929,7,0.059504132,192904
5/31/1929 23:59,1929,5,1929,8,0.061487603,192905
6/30/1929 23:59,1929,6,1929,9,0.059504132,192906
7/31/1929 23:59,1929,7,1929,10,0.061487603,192907
8/31/1929 23:59,1929,8,1929,11,0.061487603,192908
9/30/1929 23:59,1929,9,1929,12,0.059504132,192909
10/31/1929 23:59,1929,10,1930,1,0.061487603,192910
11/30/1929 23:59,1929,11,1930,2,0.059504132,192911
12/31/1929 23:59,1929,12,1930,3,0.061487603,192912
1/31/1930 23:59,1930,1,1930,4,0.061487603,193001
2/28/1930 23:59,1930,2,1930,5,0.05553719,193002
3/31/1930 23:59,1930,3,1930,6,0.061487603,193003
4/30/1930 23:59,1930,4,1930,7,0.059504132,193004
5/31/1930 23:59,1930,5,1930,8,0.061487603,193005
6/30/1930 23:59,1930,6,1930,9,0.059504132,193006
7/31/1930 23:59,1930,7,1930,10,0.061487603,193007
8/31/1930 23:59,1930,8,1930,11,0.061487603,193008
9/30/1930 23:59,1930,9,1930,12,0.059504132,193009
10/31/1930 23:59,1930,10,1931,1,0.061487603,193010
11/30/1930 23:59,1930,11,1931,2,0.059504132,193011
12/31/1930 23:59,1930,12,1931,3,0.061487603,193012
1/31/1931 23:59,1931,1,1931,4,0.061487603,193101
2/28/1931 23:59,1931,2,1931,5,0.05553719,193102
3/31/1931 23:59,1931,3,1931,6,0.061487603,193103
4/30/1931 23:59,1931,4,1931,7,0.059504132,193104
5/31/1931 23:59,1931,5,1931,8,0.061487603,193105
6/30/1931 23:59,1931,6,1931,9,0.059504132,193106
7/31/1931 23:59,1931,7,1931,10,0.061487603,193107
8/31/1931 23:59,1931,8,1931,11,0.061487603,193108
9/30/1931 23:59,1931,9,1931,12,0.059504132,193109
10/31/1931 23:59,1931,10,1932,1,0.061487603,193110
11/30/1931 23:59,1931,11,1932,2,0.059504132,193111
12/31/1931 23:59,1931,12,1932,3,0.061487603,193112
1/31/1932 23:59,1932,1,1932,4,0.061487603,193201
2/29/1932 23:59,1932,2,1932,5,0.057520661,193202
3/31/1932 23:59,1932,3,1932,6,0.061487603,193203
4/30/1932 23:59,1932,4,1932,7,0.059504132,193204
5/31/1932 23:59,1932,5,1932,8,0.061487603,193205
6/30/1932 23:59,1932,6,1932,9,0.059504132,193206
7/31/1932 23:59,1932,7,1932,10,0.061487603,193207
8/31/1932 23:59,1932,8,1932,11,0.061487603,193208
9/30/1932 23:59,1932,9,1932,12,0.059504132,193209
10/31/1932 23:59,1932,10,1933,1,0.061487603,193210
11/30/1932 23:59,1932,11,1933,2,0.059504132,193211
12/31/1932 23:59,1932,12,1933,3,0.061487603,193212
1/31/1933 23:59,1933,1,1933,4,0.061487603,193301
2/28/1933 23:59,1933,2,1933,5,0.05553719,193302
3/31/1933 23:59,1933,3,1933,6,0.061487603,193303
4/30/1933 23:59,1933,4,1933,7,0.059504132,193304
5/31/1933 23:59,1933,5,1933,8,0.061487603,193305
6/30/1933 23:59,1933,6,1933,9,0.059504132,193306
7/31/1933 23:59,1933,7,1933,10,0.061487603,193307
8/31/1933 23:59,1933,8,1933,11,0.061487603,193308
9/30/1933 23:59,1933,9,1933,12,0.059504132,193309
10/31/1933 23:59,1933,10,1934,1,0.061487603,193310
11/30/1933 23:59,1933,11,1934,2,0.059504132,193311
12/31/1933 23:59,1933,12,1934,3,0.061487603,193312
1/31/1934 23:59,1934,1,1934,4,0.061487603,193401
2/28/1934 23:59,1934,2,1934,5,0.05553719,193402
3/31/1934 23:59,1934,3,1934,6,0.061487603,193403
4/30/1934 23:59,1934,4,1934,7,0.059504132,193404
5/31/1934 23:59,1934,5,1934,8,0.061487603,193405
6/30/1934 23:59,1934,6,1934,9,0.059504132,193406
7/31/1934 23:59,1934,7,1934,10,0.061487603,193407
8/31/1934 23:59,1934,8,1934,11,0.061487603,193408
9/30/1934 23:59,1934,9,1934,12,0.059504132,193409
10/31/1934 23:59,1934,10,1935,1,0.061487603,193410
11/30/1934 23:59,1934,11,1935,2,0.059504132,193411
12/31/1934 23:59,1934,12,1935,3,0.061487603,193412
1/31/1935 23:59,1935,1,1935,4,0.061487603,193501
2/28/1935 23:59,1935,2,1935,5,0.05553719,193502
3/31/1935 23:59,1935,3,1935,6,0.061487603,193503
4/30/1935 23:59,1935,4,1935,7,0.059504132,193504
5/31/1935 23:59,1935,5,1935,8,0.061487603,193505
6/30/1935 23:59,1935,6,1935,9,0.059504132,193506
7/31/1935 23:59,1935,7,1935,10,0.061487603,193507
8/31/1935 23:59,1935,8,1935,11,0.061487603,193508
9/30/1935 23:59,1935,9,1935,12,0.059504132,193509
10/31/1935 23:59,1935,10,1936,1,0.061487603,193510
11/30/1935 23:59,1935,11,1936,2,0.059504132,193511
12/31/1935 23:59,1935,12,1936,3,0.061487603,193512
1/31/1936 23:59,1936,1,1936,4,0.061487603,193601
2/29/1936 23:59,1936,2,1936,5,0.057520661,193602
3/31/1936 23:59,1936,3,1936,6,0.061487603,193603
4/30/1936 23:59,1936,4,1936,7,0.059504132,193604
5/31/1936 23:59,1936,5,1936,8,0.061487603,193605
6/30/1936 23:59,1936,6,1936,9,0.059504132,193606
7/31/1936 23:59,1936,7,1936,10,0.061487603,193607
8/31/1936 23:59,1936,8,1936,11,0.061487603,193608
9/30/1936 23:59,1936,9,1936,12,0.059504132,193609
10/31/1936 23:59,1936,10,1937,1,0.061487603,193610
11/30/1936 23:59,1936,11,1937,2,0.059504132,193611
12/31/1936 23:59,1936,12,1937,3,0.061487603,193612
1/31/1937 23:59,1937,1,1937,4,0.061487603,193701
2/28/1937 23:59,1937,2,1937,5,0.05553719,193702
3/31/1937 23:59,1937,3,1937,6,0.061487603,193703
4/30/1937 23:59,1937,4,1937,7,0.059504132,193704
5/31/1937 23:59,1937,5,1937,8,0.061487603,193705
6/30/1937 23:59,1937,6,1937,9,0.059504132,193706
7/31/1937 23:59,1937,7,1937,10,0.061487603,193707
8/31/1937 23:59,1937,8,1937,11,0.061487603,193708
9/30/1937 23:59,1937,9,1937,12,0.059504132,193709
10/31/1937 23:59,1937,10,1938,1,0.061487603,193710
11/30/1937 23:59,1937,11,1938,2,0.059504132,193711
12/31/1937 23:59,1937,12,1938,3,0.061487603,193712
1/31/1938 23:59,1938,1,1938,4,0.061487603,193801
2/28/1938 23:59,1938,2,1938,5,0.05553719,193802
3/31/1938 23:59,1938,3,1938,6,0.061487603,193803
4/30/1938 23:59,1938,4,1938,7,0.059504132,193804
5/31/1938 23:59,1938,5,1938,8,0.061487603,193805
6/30/1938 23:59,1938,6,1938,9,0.059504132,193806
7/31/1938 23:59,1938,7,1938,10,0.061487603,193807
8/31/1938 23:59,1938,8,1938,11,0.061487603,193808
9/30/1938 23:59,1938,9,1938,12,0.059504132,193809
10/31/1938 23:59,1938,10,1939,1,0.061487603,193810
11/30/1938 23:59,1938,11,1939,2,0.059504132,193811
12/31/1938 23:59,1938,12,1939,3,0.061487603,193812
1/31/1939 23:59,1939,1,1939,4,0.061487603,193901
2/28/1939 23:59,1939,2,1939,5,0.05553719,193902
3/31/1939 23:59,1939,3,1939,6,0.061487603,193903
4/30/1939 23:59,1939,4,1939,7,0.059504132,193904
5/31/1939 23:59,1939,5,1939,8,0.061487603,193905
6/30/1939 23:59,1939,6,1939,9,0.059504132,193906
7/31/1939 23:59,1939,7,1939,10,0.061487603,193907
8/31/1939 23:59,1939,8,1939,11,0.061487603,193908
